filename,set,mos5,mosnet_pred,dnsmos_pred,scoreq_pred,ratings,mos100,mos10,type,zscores,dbscan,if,dbscan_if_decision,filtered,raters,scaled_ratings
sid0002-anchor-COSINE-0100-M_close_10.wav,test,2.624242424242424,3.420037,3.640062928076581,2.834831714630127,"[70, 39, 51, 13, 33]",41.2,5.0026255,anchor,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[70, 39, 51, 13, 33]","['A1ZYJ9H5USAI8P', 'A24BRTWG07T53Z', 'A2JP9IKRHNLRPI', 'A38DC3BG1ZCVZ2', 'A3UDUHUVFKD833']","[3.787878787878788, 2.5353535353535355, 3.0202020202020208, 1.4848484848484849, 2.2929292929292933]"
sid0003-clean-COSINE-0100-M_close_100-truncated.wav,test,3.5131313131313133,3.0206642,2.489451259817158,2.845285177230835,"[53, 68, 70, 60, 65]",63.2,7.8604255,reference,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[53, 68, 70, 60, 65]","['AXVOIZ3O4ENTO', 'A38NFX88VZDMJ3', 'A2DDE152ADIUHG', 'AVD6HMIO1HLFI', 'A22BBAU24IEHPL']","[3.101010101010101, 3.7070707070707076, 3.787878787878788, 3.383838383838384, 3.5858585858585856]"
sid0004-noisy-COSINE-0100-M_array1_101.wav,test,3.5939393939393947,2.888658,3.415585710836398,3.3498964309692383,"[75, 47, 75, 56, 73]",65.2,4.7102656,test,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[75, 47, 75, 56, 73]","['A9ZCY6FLUCIU1', 'A1APYLD4DUK33J', 'A6KB4VHCZYTY2', 'AQORJW4W8U9YU', 'A38DC3BG1ZCVZ2']","[3.9898989898989905, 2.858585858585859, 3.9898989898989905, 3.2222222222222223, 3.909090909090909]"
sid0005-noisy-COSINE-0100-M_array1_102.wav,test,2.761616161616162,2.721466,3.42160975096434,3.0655293464660645,"[40, 83, 57, 21, 22]",44.6,4.871633,test,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[40, 83, 57, 21, 22]","['AOWLCXNXCSQAC', 'A1E235KE3CSO7H', 'A3SKEW89V5S0DI', 'A10O5YR01H865K', 'A22BBAU24IEHPL']","[2.575757575757576, 4.313131313131313, 3.262626262626263, 1.808080808080808, 1.8484848484848486]"
sid0009-clean-COSINE-0100-M_close_106.wav,test,3.1090909090909093,3.164477,2.2944609617029137,2.7466299533843994,"[50, 52, 47, 53, 64]",53.2,7.918857,reference,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[50, 52, 47, 53, 64]","['A1B7GQTH9YG04X', 'A1LOD3LNX7FUPJ', 'A15VCKELIEEPJN', 'A10O5YR01H865K', 'AR1TGX5FCWQOJ']","[2.97979797979798, 3.0606060606060606, 2.858585858585859, 3.101010101010101, 3.545454545454546]"
sid0009-noisy-COSINE-0100-M_array1_106.wav,test,3.2868686868686865,2.7773066,2.8024535640050745,3.237194538116455,"[70, 62, 74, 33, 49]",57.6,4.3217654,test,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[70, 62, 74, 33, 49]","['A1B7GQTH9YG04X', 'A1LOD3LNX7FUPJ', 'A15VCKELIEEPJN', 'A10O5YR01H865K', 'AR1TGX5FCWQOJ']","[3.787878787878788, 3.4646464646464645, 3.94949494949495, 2.2929292929292933, 2.9393939393939394]"
sid0012-clean-COSINE-0100-M_close_109.wav,test,3.181818181818182,2.6228654,2.9851497573934407,2.640381097793579,"[42, 26, 51, 91, 65]",55.0,7.2953253,reference,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[42, 26, 51, 91, 65]","['A29P6O0S4OGA24', 'A1HYMGPYXU97ZN', 'A9ZCY6FLUCIU1', 'AQZM81DMVPHW5', 'APHNYDGTCRN3O']","[2.6565656565656566, 2.0101010101010104, 3.0202020202020208, 4.636363636363637, 3.5858585858585856]"
sid0013-clean-COSINE-0100-M_close_110.wav,test,3.6181818181818186,2.8879306,2.7387603250634336,3.320713758468628,"[80, 70, 55, 37, 87]",65.8,7.6819983,reference,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[80, 70, 55, 37, 87]","['AOSO1D81K0ET0', 'A1KFCUN4NISJ1O', 'A2PTTSUG7NF42Q', 'A1Z0QIB2VPW5BG', 'ARMBVAG9TJLFR']","[4.191919191919192, 3.787878787878788, 3.1818181818181817, 2.4545454545454546, 4.474747474747475]"
sid0014-clean-COSINE-0100-M_close_111.wav,test,3.3434343434343434,2.4457047,2.652213569417577,2.538364887237549,"[75, 75, 42, 48, 55]",59.0,7.4974184,reference,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[75, 75, 42, 48, 55]","['A3RHJEMZ4EGY2U', 'A340UNNVUZMEZF', 'A2SNZOY3RDSJ9A', 'AW1QY7Q83DYCJ', 'A23CXOC5SBL0CQ']","[3.9898989898989905, 3.9898989898989905, 2.6565656565656566, 2.898989898989899, 3.1818181818181817]"
sid0015-noisy-COSINE-0100-M_array1_113.wav,test,3.804040404040404,2.9076931,3.4071598780164245,3.319063901901245,"[90, 77, 54, 54, 77]",70.4,5.8456054,test,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[90, 77, 54, 54, 77]","['A3BZVFD82AVLT8', 'A1Q0QFRU01HE2Q', 'AL2J5M8WQIKMI', 'AP9TUT1V7MGAG', 'A22CN9X0JP1HM4']","[4.595959595959596, 4.070707070707071, 3.141414141414142, 3.141414141414142, 4.070707070707071]"
sid0017-noisy-COSINE-0100-M_array1_115.wav,test,3.804040404040404,3.0825999,3.1531901814086227,3.327219724655152,"[54, 85, 72, 74, 67]",70.4,6.025218,test,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[54, 85, 72, 74, 67]","['A2LGOTUHLBG49S', 'A3AXW00MYWGQF9', 'A2YR29YNFLZSUG', 'ALV4DAF8DIJ37', 'A2PTTSUG7NF42Q']","[3.141414141414142, 4.3939393939393945, 3.8686868686868685, 3.94949494949495, 3.666666666666667]"
sid0018-noisy-COSINE-0100-M_array1_116.wav,test,3.335353535353536,2.8370514,3.7965266381471374,2.9041342735290527,"[51, 56, 42, 45, 100]",58.8,5.089864,test,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[51, 56, 42, 45, 100]","['A2DCLIBGQV2ZMT', 'A15340BRCER2UO', 'A1JF9JUL432Z96', 'A3NKA0NIM0TX5C', 'A2EMG4S9LWOIZZ']","[3.0202020202020208, 3.2222222222222223, 2.6565656565656566, 2.7777777777777777, 5.0]"
sid0019-anchor-COSINE-0100-M_close_117.wav,test,2.915151515151515,4.044659,2.8502834211676147,2.1319596767425537,"[50, 63, 32, 45, 52]",48.4,5.162265,anchor,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[50, 63, 32, 45, 52]","['A22BBAU24IEHPL', 'A3I0ITCG0HKFFZ', 'A1IQUHRI7G63YF', 'A1HDD2B9I6D33I', 'A3FLM7IX6UGVPX']","[2.97979797979798, 3.505050505050505, 2.2525252525252526, 2.7777777777777777, 3.0606060606060606]"
sid0021-anchor-COSINE-0100-M_close_119.wav,test,3.141414141414142,2.960216,3.057456670591394,2.7025184631347656,"[60, 39, 79, 28, 64]",54.0,5.543925,anchor,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[60, 39, 79, 28, 64]","['A22BBAU24IEHPL', 'A2CHDWKAYZ3P3E', 'A249LDVPG27XCE', 'ACJ6NSCIWMUZI', 'A372725XPFZ48Q']","[3.383838383838384, 2.5353535353535355, 4.151515151515151, 2.090909090909091, 3.545454545454546]"
sid0022-anchor-COSINE-0100-M_close_12-truncated.wav,test,2.8424242424242427,3.687664,2.6209000176894905,2.5323240756988525,"[48, 30, 44, 43, 68]",46.6,4.7772875,anchor,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[48, 30, 44, 43, 68]","['A3UUH3632AI3ZX', 'A1SLJKNSNHOJRN', 'AJMUCGUKNKE74', 'APF1EAZT104LQ', 'AQORJW4W8U9YU']","[2.898989898989899, 2.1717171717171717, 2.7373737373737375, 2.6969696969696972, 3.7070707070707076]"
sid0022-noisy-COSINE-0100-M_array1_12-truncated.wav,test,3.7393939393939393,2.9354067,3.03100741306556,2.8065006732940674,"[72, 81, 81, 49, 61]",68.8,3.9402711,test,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[72, 81, 81, 49, 61]","['A3UUH3632AI3ZX', 'A1SLJKNSNHOJRN', 'AJMUCGUKNKE74', 'APF1EAZT104LQ', 'AQORJW4W8U9YU']","[3.8686868686868685, 4.232323232323233, 4.232323232323233, 2.9393939393939394, 3.4242424242424248]"
