filename,mosnet_pred,dnsmos_pred,scoreq_pred,freqbin,scale
sid0026-anchor-COSINE-0100-M_close_124.wav,3.284774,3.146724184254172,2.278739213943481,,1
sid0040-clean-COSINE-0100-M_close_139.wav,2.749686,3.637123623842804,3.19789981842041,,1
sid0101-clean-COSINE-0100-M_close_202-truncated.wav,3.1172006,3.201851023811716,2.532744646072388,,1
sid0109-noisy-COSINE-0100-M_array1_21.wav,3.1700628,2.871384751251096,3.0166826248168945,,1
sid0214-anchor-COSINE-0100-M_close_50-truncated.wav,3.1383245,2.756966039683404,2.535608053207397,,1
sid0288-noisy-COSINE-0622-F_array1_129.wav,3.0509446,2.2069655520387723,1.5908554792404177,,1
sid0324-clean-COSINE-0622-F_close_163.wav,2.714275,3.2120965907952623,3.4655182361602783,,1
sid0398-anchor-COSINE-0622-F_close_59.wav,2.5678933,3.023410513828852,3.472249746322632,,1
sid0404-clean-COSINE-0622-F_close_65.wav,3.5178766,3.0748376352880245,3.1823861598968506,,1
sid0728-anchor-COSINE-1399-F_close_108.wav,2.7478077,2.853484952322041,2.809969425201416,,1
sid0730-clean-COSINE-1399-F_close_11.wav,3.2831864,3.082630215228555,3.741925239562988,,1
sid0795-clean-COSINE-1399-F_close_178-truncated.wav,2.41604,2.6744039875550305,3.492680549621582,,1
sid0840-noisy-COSINE-1399-F_array1_221.wav,3.2378316,3.017038773749979,2.851820468902588,,1
sid0890-anchor-COSINE-1399-F_close_274-truncated.wav,3.278022,2.591376072532409,2.784718513488769,,1
sid0969-clean-COSINE-1399-F_close_358.wav,2.6515734,3.672199562936602,3.9750587940216064,,1
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,3.1114376,3.142795529167324,2.485344171524048,,1
sid1006-anchor-COSINE-1399-F_close_78-truncated.wav,2.9879632,2.5905290241172856,2.6902990341186523,,1
sid1084-noisy-COSINE-1777-F_array1_164.wav,3.351058,2.7011459079479256,1.7506295442581177,,1
sid1181-anchor-COSINE-1892-M_close_1.wav,2.362726,2.4599420820089186,2.3424768447875977,,1
sid1246-clean-COSINE-1892-M_close_161.wav,2.50212,3.361638323424615,2.6939563751220703,,1
sid1282-anchor-COSINE-1892-M_close_51.wav,4.1205735,3.544936878982372,3.008627653121948,,1
sid1378-noisy-COSINE-2145-F_shoulder_144.wav,2.137542,2.2551243367094616,1.0385873317718506,,1
sid1386-clean-COSINE-2145-F_close_2.wav,2.2757435,2.8100305481392875,2.682661771774292,,1
sid1458-noisy-COSINE-2145-F_shoulder_98.wav,2.8089612,3.101021122845093,1.3368654251098633,,1
sid1461-noisy-COSINE-2406-F_array1_10.wav,2.4213388,3.2088617777753465,2.649519205093384,,1
sid1540-anchor-COSINE-2406-F_close_185.wav,2.72398,3.520196075406468,2.167834997177124,,1
sid1548-clean-COSINE-2406-F_close_194-truncated.wav,2.7943072,3.332833468366157,2.999309062957764,,1
sid1639-anchor-COSINE-2406-F_close_3.wav,2.1442657,2.710024457305373,1.6567658185958862,,1
sid1768-clean-COSINE-2734-M_close_35.wav,2.8645873,2.908341343054736,3.386776924133301,,1
sid1777-noisy-COSINE-2734-M_array1_46.wav,3.133135,2.832603910927744,2.458486318588257,,1
sid1816-anchor-COSINE-2734-M_close_91.wav,2.6816933,2.821829191956313,2.2736356258392334,,1
sid1819-noisy-COSINE-2734-M_array1_94.wav,2.7326612,3.4991414474696985,2.969379425048828,,1
sid1832-anchor-COSINE-2794-M_close_107.wav,2.4736266,3.266712787759558,2.470220804214477,,1
sid1865-anchor-COSINE-2794-M_close_140.wav,3.1023421,2.8095192337337043,2.651631116867065,,1
sid1902-anchor-COSINE-2794-M_close_179.wav,3.2946537,3.161902589714007,2.4784157276153564,,1
sid1906-clean-COSINE-2794-M_close_182.wav,2.8416154,3.7506547162425936,3.317736864089966,,1
sid1954-anchor-COSINE-2794-M_close_229.wav,2.5960724,3.1095299386411552,2.7695322036743164,,1
sid1957-noisy-COSINE-2794-M_array1_231.wav,2.9919076,3.75253907690852,1.9961541891098025,,1
sid1998-noisy-COSINE-2794-M_array1_52.wav,2.652236,2.556531245232451,2.4776268005371094,,1
sid2129-anchor-COSINE-2828-M_close_63.wav,2.8734455,2.883063619258016,2.800204038619995,,1
sid2226-noisy-COSINE-2898-M_array1_162.wav,2.442823,3.2047329215386995,2.371931552886963,,1
sid2287-noisy-COSINE-2898-M_array1_226.wav,2.5180473,2.448230545430116,1.4591004848480225,,1
sid2292-noisy-COSINE-2898-M_array1_232-truncated.wav,2.9582849,2.926073536676544,2.178994417190552,,1
sid2325-clean-COSINE-2898-M_close_43.wav,3.4060593,3.066073168448087,3.076519012451172,,1
sid2411-noisy-COSINE-3231-F_array1_13.wav,2.3700871,2.558559268459838,1.4126099348068235,,1
sid2579-noisy-COSINE-3231-F_array1_81.wav,4.193134,2.7321096114546366,1.557764768600464,,1
sid2594-anchor-COSINE-3231-F_close_96.wav,2.7644188,3.218085214465591,2.9533369541168213,,1
sid2628-clean-COSINE-3277-F_close_128.wav,2.7074878,3.0103451827705605,2.9656264781951904,,1
sid2685-clean-COSINE-3277-F_close_53-truncated.wav,2.9726834,2.8018534657076044,3.0622429847717285,,1
sid2754-clean-COSINE-3381-F_close_22.wav,2.6047742,3.478742015390748,2.84784197807312,,1
sid2812-anchor-COSINE-3381-F_close_81.wav,2.6277387,2.3516727596731526,2.5856714248657227,,1
sid3093-clean-COSINE-3826-M_close_111.wav,3.6080196,2.8318147775977747,3.303905248641968,,1
sid3114-clean-COSINE-3826-M_close_132.wav,3.395998,3.396237342479333,2.8593339920043945,,1
sid3157-anchor-COSINE-3826-M_close_177.wav,3.0537355,3.6259088762208167,2.5495591163635254,,1
sid3227-clean-COSINE-3826-M_close_244-truncated.wav,3.3625677,3.449353076409672,3.1485607624053955,,1
sid3312-clean-COSINE-3904-M_close_102.wav,3.6840527,3.228221590667807,3.085648536682129,,1
sid3324-noisy-COSINE-3904-M_array1_113.wav,2.8132083,3.143885782025748,2.1736068725585938,,1
sid3419-noisy-COSINE-3904-M_array1_217.wav,2.4392605,3.228980556939943,1.873817801475525,,1
sid3516-noisy-COSINE-3904-M_array1_67.wav,2.125861,2.5812325153415703,1.2745801210403442,,1
sid3555-noisy-COSINE-4174-F_array1_103.wav,2.5128303,2.412230921204676,1.8048288822174072,,1
